X,filing_date,trade_date,ticker,company,insider,title,trade_type,price,qty,owned,delta_own,value,1d,1w,1m,6m,sector_label,materiality_reason,cap_filter,exported_at
,2026-04-03 17:06:28,2026-04-02,ANVS,"Annovis Bio, Inc.",Hoffman Michael B,Dir,P - Purchase,2.1,713800.0,3511896.0,26.0,1498980.0,,,,,Mining,"Wert $1,498,980, Position +26.0%",nicht geprüft – manuell prüfen (<$500M),2026-04-06 00:28:32
M,2026-04-03 16:42:37,2026-04-02,ECAT,Blackrock Esg Capital Allocation Term Trust,"Saba Capital Management, L.P.",10%,P - Purchase,13.87,303392.0,21762781.0,1.0,4208047.0,,,,,Mining,"Wert $4,208,047",nicht geprüft – manuell prüfen (<$500M),2026-04-06 00:28:32
M,2026-04-03 14:14:25,2026-04-01,RPAY,Repay Holdings Corp,"Forager Fund, L.P.",10%,P - Purchase,2.54,950000.0,10192937.0,10.0,2408384.0,,,,,Mining,"Wert $2,408,384, Position +10.0%",nicht geprüft – manuell prüfen (<$500M),2026-04-06 00:28:32
,2026-04-03 13:49:00,2026-04-01,VALE,Vale S.A.,Arap Sobrinho Sami,EVP Legal Officer,P - Purchase,16.11,12990.0,25980.0,100.0,209290.0,,,,,Mining,Position +100.0%,nicht geprüft – manuell prüfen (<$500M),2026-04-06 00:28:32
,2026-04-03 13:39:26,2026-04-01,VALE,Vale S.A.,Tallia Parenti Grazielle,"Officer, Sustainability",P - Purchase,16.11,10464.0,20938.0,100.0,168592.0,,,,,Mining,Position +100.0%,nicht geprüft – manuell prüfen (<$500M),2026-04-06 00:28:32
,2026-04-03 12:44:10,2026-04-01,LULU,Lululemon Athletica Inc.,Maestrini Andre,"Pres, CCO, Interim Co-CEO",P - Purchase,151.02,3275.0,34551.0,10.0,494591.0,,,,,Mining,Position +10.0%,nicht geprüft – manuell prüfen (<$500M),2026-04-06 00:28:32
D,2026-04-02 19:34:11,2026-03-31,VVOS,"Vivos Therapeutics, Inc.",Skaff Michael C,10%,P - Purchase,1.34,1353625.0,1353625.0,0.0,1813858.0,,,,,Mining,"Wert $1,813,858",nicht geprüft – manuell prüfen (<$500M),2026-04-06 00:28:32
D,2026-04-02 17:21:45,2026-03-31,WCC,Wesco International Inc,Castillo Daniel J,"EVP, GM, EES",P - Purchase,266.06,1400.0,15325.0,10.0,372484.0,,,,,Mining,Position +10.0%,nicht geprüft – manuell prüfen (<$500M),2026-04-06 00:28:32
,2026-04-02 17:05:58,2026-04-02,LPCN,Lipocine Inc.,Patel Mahesh V.,CEO,P - Purchase,2.02,25000.0,135679.0,23.0,50500.0,,,,,Mining,Position +23.0%,nicht geprüft – manuell prüfen (<$500M),2026-04-06 00:28:32
,2026-04-02 16:30:13,2026-03-31,MSIF,"Msc Income Fund, Inc.",Gilbert Cory,"CFO, Treasurer",P - Purchase,12.2,825.0,5393.0,18.0,10065.0,,,,,Mining,Position +18.0%,nicht geprüft – manuell prüfen (<$500M),2026-04-06 00:28:32
,2026-04-02 16:23:23,2026-04-01,PRHI,"Presurance Holdings, Inc.",Roney Brian J,CEO,P - Purchase,0.72,100000.0,510232.0,24.0,71810.0,,,,,Mining,Position +24.0%,nicht geprüft – manuell prüfen (<$500M),2026-04-06 00:28:32
M,2026-04-02 16:07:10,2026-03-23,SVRE,Saverone 2014 Ltd.,"Visionwave Holdings, Inc.",Dir,P - Purchase,3.0,361800000.0,2147483647.0,5.0,1085400000.0,,,,,Mining,"Wert $1,085,400,000",nicht geprüft – manuell prüfen (<$500M),2026-04-06 00:28:32
,2026-04-02 16:06:50,2026-03-31,FGBI,"First Guaranty Bancshares, Inc.",Smith Edgar R. III,"Dir, 10%",P - Purchase,7.77,138083.0,5329384.0,3.0,1072905.0,,,,,Mining,"Wert $1,072,905",nicht geprüft – manuell prüfen (<$500M),2026-04-06 00:28:32
,2026-04-02 16:05:38,2026-03-31,FGBI,"First Guaranty Bancshares, Inc.",McAnally Bruce,Dir,P - Purchase,7.77,32176.0,363263.0,10.0,250008.0,,,,,Mining,Position +10.0%,nicht geprüft – manuell prüfen (<$500M),2026-04-06 00:28:32
,2026-04-02 14:04:03,2026-04-02,SVC,Service Properties Trust,Donley Brian E.,"CFO, Treasurer",P - Purchase,1.2,55000.0,203660.0,37.0,66000.0,,,,,Mining,Position +37.0%,nicht geprüft – manuell prüfen (<$500M),2026-04-06 00:28:32
,2026-04-02 14:03:26,2026-04-02,SVC,Service Properties Trust,Bilotto Christopher J.,"Pres, CEO",P - Purchase,1.2,100000.0,298369.0,50.0,120000.0,,,,,Mining,Position +50.0%,nicht geprüft – manuell prüfen (<$500M),2026-04-06 00:28:32
,2026-04-02 14:02:41,2026-04-02,SVC,Service Properties Trust,Portnoy Adam D.,Dir,P - Purchase,1.2,41666666.0,43698330.0,0.0,49999999.0,,,,,Mining,"Wert $49,999,999",nicht geprüft – manuell prüfen (<$500M),2026-04-06 00:28:32
M,2026-04-02 08:47:20,2023-05-15,BPRN,"Princeton Bancorp, Inc.",Shueh Stephen,Dir,P - Purchase,28.32,10500.0,42038.0,33.0,297395.0,,,,,Mining,Position +33.0%,nicht geprüft – manuell prüfen (<$500M),2026-04-06 00:28:32
,2026-04-02 07:17:47,2026-03-31,BNR,Burning Rock Biotech Ltd,Han Yusheng,Dir,P - Purchase,17.36,314870.0,17672676.0,2.0,5466143.0,,,,,Mining,"Wert $5,466,143",nicht geprüft – manuell prüfen (<$500M),2026-04-06 00:28:32
A,2026-04-02 06:07:58,2026-03-30,LODE,Comstock Inc.,Drozdoff Leo M,Dir,P - Purchase,3.0,28000.0,178481.0,19.0,84000.0,,,,,Mining,Position +19.0%,nicht geprüft – manuell prüfen (<$500M),2026-04-06 00:28:32
,2026-04-01 21:52:28,2026-03-31,BZUN,Baozun Inc.,Wu Junhua,Chief Strategy Officer,P - Purchase,2.4,14000.0,61428.0,30.0,33597.0,,,,,Mining,Position +30.0%,nicht geprüft – manuell prüfen (<$500M),2026-04-06 00:28:32
,2026-04-01 17:20:16,2026-03-31,PCSA,"Processa Pharmaceuticals, Inc.",Young David,"Pres Research, Development",P - Purchase,2.54,1810.0,12978.0,16.0,4588.0,,,,,Mining,Position +16.0%,nicht geprüft – manuell prüfen (<$500M),2026-04-06 00:28:32
,2026-04-01 17:15:37,2026-03-31,PCSA,"Processa Pharmaceuticals, Inc.",Ng George K,CEO,P - Purchase,2.54,2136.0,7937.0,37.0,5415.0,,,,,Mining,Position +37.0%,nicht geprüft – manuell prüfen (<$500M),2026-04-06 00:28:32
,2026-04-01 17:11:24,2026-03-31,PCSA,"Processa Pharmaceuticals, Inc.",Lin Patrick,Chief Business - Strategy Off,P - Purchase,2.54,1603.0,5096.0,46.0,4064.0,,,,,Mining,Position +46.0%,nicht geprüft – manuell prüfen (<$500M),2026-04-06 00:28:32
,2026-04-01 17:09:45,2026-03-31,PCSA,"Processa Pharmaceuticals, Inc.",Guy Wendy,Chief Administrative Officer,P - Purchase,2.54,1854.0,3443.0,117.0,4700.0,,,,,Mining,Position +117.0%,nicht geprüft – manuell prüfen (<$500M),2026-04-06 00:28:32
,2026-04-01 17:08:25,2026-03-31,PCSA,"Processa Pharmaceuticals, Inc.",Bigora Sian,Chief Development Officer,P - Purchase,2.54,2107.0,3978.0,113.0,5341.0,,,,,Mining,Position +113.0%,nicht geprüft – manuell prüfen (<$500M),2026-04-06 00:28:32
,2026-04-01 17:00:06,2026-03-30,RBRK,"Rubrik, Inc.",McLaughlin Mark D,Dir,P - Purchase,47.21,10638.0,13639.0,354.0,502220.0,,,,,Mining,Position +354.0%,nicht geprüft – manuell prüfen (<$500M),2026-04-06 00:28:32
,2026-04-01 16:41:16,2026-03-30,TCGSX,Tcg Strategic Income Fund,Tannenbaum Leonard M,"Dir, 10%",P - Purchase,9.74,410678.0,914663.0,81.0,4000000.0,,,,,Mining,"Wert $4,000,000, Position +81.0%",nicht geprüft – manuell prüfen (<$500M),2026-04-06 00:28:32
D,2026-04-01 16:39:11,2026-03-30,FMAC,Future Money Acquisition Corp,Future Wealth Capital Corp.,10%,P - Purchase,10.0,304000.0,4666069.0,7.0,3040000.0,,,,,Mining,"Wert $3,040,000",nicht geprüft – manuell prüfen (<$500M),2026-04-06 00:28:32
,2026-04-01 16:30:31,2026-03-31,ZBIO,"Zenas Biopharma, Inc.",Fairmount Funds Management LLC,Dir,P - Purchase,20.0,150000.0,2359025.0,7.0,3000000.0,,,,,Mining,"Wert $3,000,000",nicht geprüft – manuell prüfen (<$500M),2026-04-06 00:28:32
,2026-04-01 16:30:16,2026-03-31,CNTB,Connect Biopharma Holdings Ltd,Huang James,Dir,P - Purchase,3.45,1160000.0,13160000.0,10.0,4002000.0,,,,,Mining,"Wert $4,002,000, Position +10.0%",nicht geprüft – manuell prüfen (<$500M),2026-04-06 00:28:32
,2026-04-01 16:27:51,2026-03-30,DYN,"Dyne Therapeutics, Inc.",Posner Brian S,Dir,P - Purchase,17.08,2000.0,15500.0,15.0,34160.0,,,,,Mining,Position +15.0%,nicht geprüft – manuell prüfen (<$500M),2026-04-06 00:28:32
,2026-04-01 16:23:59,2026-03-30,TISI,Team Inc,Lederman Evan S.,Dir,P - Purchase,16.19,1000.0,5978.0,20.0,16190.0,,,,,Mining,Position +20.0%,nicht geprüft – manuell prüfen (<$500M),2026-04-06 00:28:32
M,2026-04-01 16:23:19,2026-03-20,TISI,Team Inc,Horton Anthony R,Dir,P - Purchase,14.84,13000.0,22082.0,143.0,192970.0,,,,,Mining,Position +143.0%,nicht geprüft – manuell prüfen (<$500M),2026-04-06 00:28:32
,2026-04-01 16:16:14,2026-03-30,LODE,Comstock Inc.,Merrill Judd,CFO,P - Purchase,3.08,3700.0,4210.0,725.0,11396.0,,,,,Mining,Position +725.0%,nicht geprüft – manuell prüfen (<$500M),2026-04-06 00:28:32
,2026-04-01 16:15:31,2026-03-30,LODE,Comstock Inc.,Drozdoff Leo M,Dir,P - Purchase,3.0,28000.0,178481.0,19.0,84000.0,,,,,Mining,Position +19.0%,nicht geprüft – manuell prüfen (<$500M),2026-04-06 00:28:32
,2026-04-01 16:15:06,2026-03-30,POCI,"Precision Optics Corporation, Inc.",Coll Wayne M,CFO,P - Purchase,3.6,20833.0,35239.0,145.0,74999.0,,,,,Mining,Position +145.0%,nicht geprüft – manuell prüfen (<$500M),2026-04-06 00:28:32
,2026-04-01 16:11:10,2026-03-31,VTS,"Vitesse Energy, Inc.",O Leary Dan,Dir,P - Purchase,18.56,10000.0,33789.0,42.0,185600.0,,,,,Mining,Position +42.0%,nicht geprüft – manuell prüfen (<$500M),2026-04-06 00:28:32
,2026-04-01 16:05:18,2026-04-01,ALT,"Altimmune, Inc.",Weaver Gregory L,CFO,P - Purchase,3.15,10000.0,38078.0,36.0,31499.0,,,,,Mining,Position +36.0%,nicht geprüft – manuell prüfen (<$500M),2026-04-06 00:28:32
